TimerID Timer1 1
TimerID Timer2 2
SubscriberID Subscriber1 4
SubscriberID Subscriber2 5
TimerID Timer3 3
SubscriberID Subscriber3 6
SubscriberID Subscriber4 7
SubscriberID Subscriber5 8
SubscriberID Subscriber6 9
SubscriberID Subscriber7 10
SubscriberID Subscriber8 11
SubscriberID Subscriber9 12
SubscriberID Subscriber10 13
Timer 3 0 162000000
StartTime 200000000
Timer 1 0 200000000
Subscriber 4 0 222000000
Timer 3 1 322000000
Subscriber 6 0 324000000
Subscriber 8 0 324000000
Timer 1 1 400000000
Timer 2 0 420000000
Subscriber 4 1 422000000
Subscriber 5 0 442000000
Subscriber 8 1 474000000
Subscriber 10 0 476000000
Timer 3 2 482000000
Subscriber 6 1 524000000
Subscriber 7 0 524000000
Subscriber 9 0 524000000
Subscriber 12 0 566000000
Timer 1 2 600000000
Subscriber 4 2 622000000
Subscriber 8 2 624000000
Timer 3 3 642000000
Subscriber 10 1 676000000
Subscriber 12 1 716000000
Subscriber 6 2 724000000
Subscriber 11 0 756000000
Subscriber 8 3 774000000
Subscriber 13 0 776000000
Timer 1 3 800000000
Timer 3 4 802000000
Subscriber 4 3 822000000
Timer 2 1 840000000
Subscriber 5 1 862000000
Subscriber 12 2 866000000
Subscriber 10 2 876000000
Subscriber 6 3 924000000
Subscriber 8 4 924000000
Timer 3 5 962000000
Subscriber 7 1 974000000
Subscriber 9 1 974000000
Timer 1 4 1000000000
Subscriber 12 3 1016000000
Subscriber 4 4 1022000000
Subscriber 10 3 1076000000
Timer 3 6 1122000000
Subscriber 6 4 1124000000
Subscriber 8 5 1124000000
Subscriber 12 4 1166000000
Timer 1 5 1200000000
Subscriber 11 1 1206000000
Subscriber 4 5 1222000000
Subscriber 13 1 1226000000
Timer 2 2 1260000000
Subscriber 8 6 1274000000
Subscriber 10 4 1276000000
Subscriber 5 2 1282000000
Timer 3 7 1282000000
Subscriber 6 5 1324000000
Subscriber 12 5 1366000000
Subscriber 7 2 1374000000
Subscriber 9 2 1374000000
Timer 1 6 1400000000
Subscriber 4 6 1422000000
Subscriber 8 7 1424000000
Timer 3 8 1442000000
Subscriber 10 5 1476000000
Subscriber 12 6 1516000000
Subscriber 6 6 1524000000
Subscriber 8 8 1574000000
Timer 1 7 1600000000
Timer 3 9 1602000000
Subscriber 11 2 1606000000
Subscriber 4 7 1622000000
Subscriber 13 2 1626000000
Subscriber 12 7 1666000000
Subscriber 10 6 1676000000
Timer 2 3 1680000000
Subscriber 5 3 1702000000
Subscriber 6 7 1724000000
Subscriber 8 9 1724000000
Timer 3 10 1762000000
Subscriber 7 3 1774000000
Subscriber 9 3 1774000000
Timer 1 8 1800000000
Subscriber 12 8 1816000000
Subscriber 4 8 1822000000
Subscriber 10 7 1876000000
Timer 3 11 1922000000
Subscriber 6 8 1924000000
Subscriber 8 10 1924000000
Subscriber 12 9 1966000000
Timer 1 9 2000000000
Subscriber 11 3 2006000000
Subscriber 4 9 2022000000
Subscriber 13 3 2026000000
Subscriber 8 11 2074000000
Subscriber 10 8 2076000000
Timer 3 12 2082000000
Timer 2 4 2100000000
Subscriber 5 4 2122000000
Subscriber 6 9 2124000000
Subscriber 12 10 2166000000
Timer 1 10 2200000000
